https://github.com/Sveino/Inst4CIM-KG/issues/73	Multilinguality in CIM?
https://github.com/Sveino/Inst4CIM-KG/issues/74	Use Standard Datatypes
https://github.com/Sveino/Inst4CIM-KG/issues/75	Change Class and Property Kinds
https://github.com/Sveino/Inst4CIM-KG/issues/76	cim:ActivePowerPerFrequency.unit is wrong
https://github.com/Sveino/Inst4CIM-KG/issues/77	cim:VoltagePerReactivePower.multiplier is defined inconsistently
https://github.com/Sveino/Inst4CIM-KG/issues/78	remove "Compounds"? what is cim:Status?
https://github.com/Sveino/Inst4CIM-KG/issues/79	approve all closed issues
https://github.com/Sveino/Inst4CIM-KG/issues/8	namespace hijacking; CGMES-NC Header-AP-Voc-RDFS2020 wrong terms
https://github.com/Sveino/Inst4CIM-KG/issues/80	EIC linked data publication?
https://github.com/Sveino/Inst4CIM-KG/issues/81	remove values like `other`
https://github.com/Sveino/Inst4CIM-KG/issues/82	old namespace CIM-schema-cim16 used in Nordic44
https://github.com/Sveino/Inst4CIM-KG/issues/83	some literals that should be URLs
https://github.com/Sveino/Inst4CIM-KG/issues/84	missing datatypes
https://github.com/Sveino/Inst4CIM-KG/issues/85	problems converting xml files to turtle
https://github.com/Sveino/Inst4CIM-KG/issues/86	no connection of instance triples to Model
https://github.com/Sveino/Inst4CIM-KG/issues/87	bad relative URLs (need BASE or urn:uuid:)
https://github.com/Sveino/Inst4CIM-KG/issues/89	prof:hasArtifact use of xsd:anyURI
https://github.com/Sveino/Inst4CIM-KG/issues/9	CGMES-NC PowerSystemProject-AP-Voc-RDFS2020: junk terms
https://github.com/Sveino/Inst4CIM-KG/issues/91	generic identifiers (cim:Name)
https://github.com/Sveino/Inst4CIM-KG/issues/92	convert Discussions to Issues
https://github.com/Sveino/Inst4CIM-KG/issues/93	add lang to definitions, remove lang from labels
https://github.com/Sveino/Inst4CIM-KG/issues/94	make custom CIM XML parser
https://github.com/Sveino/Inst4CIM-KG/issues/95	which SHACL validators to try?
https://github.com/Sveino/Inst4CIM-KG/issues/96	coordinate props should be xsd:decimal
https://github.com/Sveino/Inst4CIM-KG/issues/97	check out CDC
https://github.com/Sveino/Inst4CIM-KG/issues/98	URL policy about MAS and BASE
https://github.com/Sveino/Inst4CIM-KG/issues/99	output ontologies as JSONLD
