p1,r1,p2,r2
nc:PowerFrequencyController.mode,nc:PowerFrequencyControlKind,nc:RotatingMachineController.mode,nc:RotatingMachineControlModeKind
nc:CompensatorController.mode,nc:CompensatorControlModeKind,nc:RotatingMachineController.mode,nc:RotatingMachineControlModeKind
nc:DirectCurrentEquipmentController.mode,nc:DCControlModeKind,nc:RotatingMachineController.mode,nc:RotatingMachineControlModeKind
nc:InjectionController.mode,nc:InjectionControlModeKind,nc:RotatingMachineController.mode,nc:RotatingMachineControlModeKind
cim:RegulatingControl.mode,cim:RegulatingControlModeKind,nc:RotatingMachineController.mode,nc:RotatingMachineControlModeKind
cim:PetersenCoil.mode,cim:PetersenCoilModeKind,nc:RotatingMachineController.mode,nc:RotatingMachineControlModeKind
nc:PowerFrequencyController.mode,nc:PowerFrequencyControlKind,nc:SSSCController.mode,nc:SSSCControlModeKind
nc:CompensatorController.mode,nc:CompensatorControlModeKind,nc:SSSCController.mode,nc:SSSCControlModeKind
nc:DirectCurrentEquipmentController.mode,nc:DCControlModeKind,nc:SSSCController.mode,nc:SSSCControlModeKind
nc:InjectionController.mode,nc:InjectionControlModeKind,nc:SSSCController.mode,nc:SSSCControlModeKind
nc:RotatingMachineController.mode,nc:RotatingMachineControlModeKind,nc:SSSCController.mode,nc:SSSCControlModeKind
cim:RegulatingControl.mode,cim:RegulatingControlModeKind,nc:SSSCController.mode,nc:SSSCControlModeKind
cim:PetersenCoil.mode,cim:PetersenCoilModeKind,nc:SSSCController.mode,nc:SSSCControlModeKind
nc:PowerFrequencyController.mode,nc:PowerFrequencyControlKind,nc:SubstationController.mode,nc:SubstationControllerModeKind
nc:CompensatorController.mode,nc:CompensatorControlModeKind,nc:SubstationController.mode,nc:SubstationControllerModeKind
nc:DirectCurrentEquipmentController.mode,nc:DCControlModeKind,nc:SubstationController.mode,nc:SubstationControllerModeKind
nc:InjectionController.mode,nc:InjectionControlModeKind,nc:SubstationController.mode,nc:SubstationControllerModeKind
nc:RotatingMachineController.mode,nc:RotatingMachineControlModeKind,nc:SubstationController.mode,nc:SubstationControllerModeKind
nc:SSSCController.mode,nc:SSSCControlModeKind,nc:SubstationController.mode,nc:SubstationControllerModeKind
cim:RegulatingControl.mode,cim:RegulatingControlModeKind,nc:SubstationController.mode,nc:SubstationControllerModeKind
cim:PetersenCoil.mode,cim:PetersenCoilModeKind,nc:SubstationController.mode,nc:SubstationControllerModeKind
nc:PowerFrequencyController.mode,nc:PowerFrequencyControlKind,nc:TCSCController.mode,nc:TCSCControlModeKind
nc:CompensatorController.mode,nc:CompensatorControlModeKind,nc:TCSCController.mode,nc:TCSCControlModeKind
nc:DirectCurrentEquipmentController.mode,nc:DCControlModeKind,nc:TCSCController.mode,nc:TCSCControlModeKind
nc:InjectionController.mode,nc:InjectionControlModeKind,nc:TCSCController.mode,nc:TCSCControlModeKind
nc:RotatingMachineController.mode,nc:RotatingMachineControlModeKind,nc:TCSCController.mode,nc:TCSCControlModeKind
nc:SSSCController.mode,nc:SSSCControlModeKind,nc:TCSCController.mode,nc:TCSCControlModeKind
nc:SubstationController.mode,nc:SubstationControllerModeKind,nc:TCSCController.mode,nc:TCSCControlModeKind
cim:RegulatingControl.mode,cim:RegulatingControlModeKind,nc:TCSCController.mode,nc:TCSCControlModeKind
cim:PetersenCoil.mode,cim:PetersenCoilModeKind,nc:TCSCController.mode,nc:TCSCControlModeKind
cim:ExcIEEEST6B.oelin,cim:ExcST6BOELselectorKind,cim:ExcIEEEST7B.oelin,cim:ExcST7BOELselectorKind
cim:ExcIEEEST1A.uelin,cim:ExcIEEEST1AUELselectorKind,cim:ExcIEEEST7B.uelin,cim:ExcST7BUELselectorKind
cim:ExcIEEEST7B.oelin,cim:ExcST7BOELselectorKind,cim:ExcST6B.oelin,cim:ExcST6BOELselectorKind
cim:ExcIEEEST6B.oelin,cim:ExcST6BOELselectorKind,cim:ExcST7B.oelin,cim:ExcST7BOELselectorKind
cim:ExcST6B.oelin,cim:ExcST6BOELselectorKind,cim:ExcST7B.oelin,cim:ExcST7BOELselectorKind
cim:ExcIEEEST1A.uelin,cim:ExcIEEEST1AUELselectorKind,cim:ExcST7B.uelin,cim:ExcST7BUELselectorKind
cim:OperationalLimitSet.Terminal,cim:ACDCTerminal,cim:RemoteInputSignal.Terminal,cim:Terminal
cim:BusNameMarker.Terminal,cim:ACDCTerminal,cim:RemoteInputSignal.Terminal,cim:Terminal
cim:Measurement.Terminal,cim:ACDCTerminal,cim:RemoteInputSignal.Terminal,cim:Terminal
cim:AuxiliaryEquipment.Terminal,cim:Terminal,cim:BusNameMarker.Terminal,cim:ACDCTerminal
cim:ACDCConverter.DCTerminals,cim:ACDCConverterDCTerminal,cim:DCNode.DCTerminals,cim:DCBaseTerminal
cim:DCConductingEquipment.DCTerminals,cim:DCTerminal,cim:DCNode.DCTerminals,cim:DCBaseTerminal
cim:ACDCConverter.DCTerminals,cim:ACDCConverterDCTerminal,cim:DCConductingEquipment.DCTerminals,cim:DCTerminal
cim:ACDCConverterDCTerminal.DCConductingEquipment,cim:ACDCConverter,cim:DCTerminal.DCConductingEquipment,cim:DCConductingEquipment
cim:DCLine.Region,cim:SubGeographicalRegion,cim:SubGeographicalRegion.Region,cim:GeographicalRegion
cim:Line.Region,cim:SubGeographicalRegion,cim:SubGeographicalRegion.Region,cim:GeographicalRegion
cim:ConformLoad.LoadGroup,cim:ConformLoadGroup,cim:NonConformLoad.LoadGroup,cim:NonConformLoadGroup
cim:ConformLoadGroup.EnergyConsumers,cim:ConformLoad,cim:NonConformLoadGroup.EnergyConsumers,cim:NonConformLoad
cim:OperationalLimitSet.Terminal,cim:ACDCTerminal,cim:RegulatingControl.Terminal,cim:Terminal
cim:BusNameMarker.Terminal,cim:ACDCTerminal,cim:RegulatingControl.Terminal,cim:Terminal
cim:Measurement.Terminal,cim:ACDCTerminal,cim:RegulatingControl.Terminal,cim:Terminal
cim:PetersenCoil.mode,cim:PetersenCoilModeKind,cim:RegulatingControl.mode,cim:RegulatingControlModeKind
cim:SubGeographicalRegion.Region,cim:GeographicalRegion,cim:Substation.Region,cim:SubGeographicalRegion
cim:ControlArea.type,cim:ControlAreaTypeKind,cim:SynchronousMachine.type,cim:SynchronousMachineKind
cim:OperationalLimitSet.Terminal,cim:ACDCTerminal,cim:TieFlow.Terminal,cim:Terminal
cim:BusNameMarker.Terminal,cim:ACDCTerminal,cim:TieFlow.Terminal,cim:Terminal
cim:Measurement.Terminal,cim:ACDCTerminal,cim:TieFlow.Terminal,cim:Terminal
cim:OperationalLimitSet.Terminal,cim:ACDCTerminal,cim:TransformerEnd.Terminal,cim:Terminal
cim:BusNameMarker.Terminal,cim:ACDCTerminal,cim:TransformerEnd.Terminal,cim:Terminal
cim:Measurement.Terminal,cim:ACDCTerminal,cim:TransformerEnd.Terminal,cim:Terminal
cim:Fault.kind,cim:PhaseConnectedFaultKind,eu:OperationalLimitType.kind,eu:LimitKind
cim:AuxiliaryEquipment.Terminal,cim:Terminal,cim:Measurement.Terminal,cim:ACDCTerminal
cim:ACDCTerminal.Measurements,cim:Measurement,cim:AccumulatorLimitSet.Measurements,cim:Accumulator
cim:Accumulator.LimitSets,cim:AccumulatorLimitSet,cim:Analog.LimitSets,cim:AnalogLimitSet
cim:ACDCTerminal.Measurements,cim:Measurement,cim:AnalogLimitSet.Measurements,cim:Analog
cim:AccumulatorLimitSet.Measurements,cim:Accumulator,cim:AnalogLimitSet.Measurements,cim:Analog
cim:AccumulatorLimit.LimitSet,cim:AccumulatorLimitSet,cim:AnalogLimit.LimitSet,cim:AnalogLimitSet
cim:AccumulatorLimitSet.Limits,cim:AccumulatorLimit,cim:AnalogLimitSet.Limits,cim:AnalogLimit
cim:AccumulatorLimitSet.Measurements,cim:Accumulator,cim:PowerSystemResource.Measurements,cim:Measurement
cim:AnalogLimitSet.Measurements,cim:Analog,cim:PowerSystemResource.Measurements,cim:Measurement
cim:OperationalLimitSet.Terminal,cim:ACDCTerminal,cim:SvPowerFlow.Terminal,cim:Terminal
cim:BusNameMarker.Terminal,cim:ACDCTerminal,cim:SvPowerFlow.Terminal,cim:Terminal
cim:Measurement.Terminal,cim:ACDCTerminal,cim:SvPowerFlow.Terminal,cim:Terminal
cim:CsConverter.operatingMode,cim:CsOperatingModeKind,cim:SynchronousMachine.operatingMode,cim:SynchronousMachineOperatingMode
cim:CsConverter.pPccControl,cim:CsPpccControlKind,cim:VsConverter.pPccControl,cim:VsPpccControlKind
cim:ACDCConverter.DCTerminals,cim:ACDCConverterDCTerminal,cim:DCTopologicalNode.DCTerminals,cim:DCBaseTerminal
cim:DCConductingEquipment.DCTerminals,cim:DCTerminal,cim:DCTopologicalNode.DCTerminals,cim:DCBaseTerminal
cim:OperationalLimitSet.Terminal,cim:ACDCTerminal,cim:TopologicalNode.Terminal,cim:Terminal
cim:BusNameMarker.Terminal,cim:ACDCTerminal,cim:TopologicalNode.Terminal,cim:Terminal
cim:Measurement.Terminal,cim:ACDCTerminal,cim:TopologicalNode.Terminal,cim:Terminal
