p1,r1,p2,r2
cim:Measurement.Terminal,cim:ACDCTerminal,nc:FrequencyMonitoringTerminal.Terminal,cim:Terminal
nc:AvailabilityPowerSystemFunction.kind,nc:AvailabilityFunctionKind,nc:GeothermalGeneratingUnit.kind,nc:GeothermalUnitKind
nc:BaseTimeSeries.kind,nc:BaseTimeSeriesKind,nc:GeothermalGeneratingUnit.kind,nc:GeothermalUnitKind
nc:ExceptionalContingency.kind,nc:ContingencyConditionKind,nc:GeothermalGeneratingUnit.kind,nc:GeothermalUnitKind
nc:EnergyType.kind,nc:EnergyKind,nc:GeothermalGeneratingUnit.kind,nc:GeothermalUnitKind
cim:Fault.kind,cim:PhaseConnectedFaultKind,nc:GeothermalGeneratingUnit.kind,nc:GeothermalUnitKind
nc:Gate.kind,nc:GateLogicKind,nc:GeothermalGeneratingUnit.kind,nc:GeothermalUnitKind
eu:OperationalLimitType.kind,eu:LimitKind,nc:GeothermalGeneratingUnit.kind,nc:GeothermalUnitKind
cim:OperationalLimitSet.Terminal,cim:ACDCTerminal,nc:PinTerminal.Terminal,cim:Terminal
cim:BusNameMarker.Terminal,cim:ACDCTerminal,nc:PinTerminal.Terminal,cim:Terminal
cim:Measurement.Terminal,cim:ACDCTerminal,nc:PinTerminal.Terminal,cim:Terminal
nc:AvailabilityPowerSystemFunction.kind,nc:AvailabilityFunctionKind,nc:PinTerminal.kind,nc:PinTerminalKind
nc:BaseTimeSeries.kind,nc:BaseTimeSeriesKind,nc:PinTerminal.kind,nc:PinTerminalKind
nc:ExceptionalContingency.kind,nc:ContingencyConditionKind,nc:PinTerminal.kind,nc:PinTerminalKind
nc:EnergyType.kind,nc:EnergyKind,nc:PinTerminal.kind,nc:PinTerminalKind
nc:GeothermalGeneratingUnit.kind,nc:GeothermalUnitKind,nc:PinTerminal.kind,nc:PinTerminalKind
cim:Fault.kind,cim:PhaseConnectedFaultKind,nc:PinTerminal.kind,nc:PinTerminalKind
nc:Gate.kind,nc:GateLogicKind,nc:PinTerminal.kind,nc:PinTerminalKind
