q,p1,r1,p2,r2
"rdfs:comment","cim:Command.normalValue","""Normal value for Control.value e.g. used for percentage scaling.""","nc:VoltageAngleLimit.normalValue","""The difference in angle degrees between referenced by the association end OperationalLimitSet.Terminal and the Terminal referenced by the association end VoltageAngleLimit.AngleReferenceTerminal. The value shall be positive (greater than zero)."""
"rdfs:comment","cim:SetPoint.normalValue","""Normal value for Control.value e.g. used for percentage scaling.""","nc:VoltageAngleLimit.normalValue","""The difference in angle degrees between referenced by the association end OperationalLimitSet.Terminal and the Terminal referenced by the association end VoltageAngleLimit.AngleReferenceTerminal. The value shall be positive (greater than zero)."""
"cims:stereotype","nc:RangeConstraint.normalValue","""NC""","nc:VoltageAngleLimit.normalValue","uml:attribute"
"cims:stereotype","nc:RangeConstraint.normalValue","uml:attribute","nc:VoltageAngleLimit.normalValue","""NC"""
"cims:stereotype","cim:ActivePowerLimit.normalValue","uml:attribute","nc:VoltageAngleLimit.normalValue","""NC"""
"cims:stereotype","cim:ApparentPowerLimit.normalValue","uml:attribute","nc:VoltageAngleLimit.normalValue","""NC"""
"cims:stereotype","cim:CurrentLimit.normalValue","uml:attribute","nc:VoltageAngleLimit.normalValue","""NC"""
"cims:stereotype","cim:VoltageLimit.normalValue","uml:attribute","nc:VoltageAngleLimit.normalValue","""NC"""
"cims:stereotype","cim:Command.normalValue","uml:attribute","nc:VoltageAngleLimit.normalValue","""NC"""
"cims:stereotype","cim:SetPoint.normalValue","uml:attribute","nc:VoltageAngleLimit.normalValue","""NC"""
"cims:multiplicity","nc:RangeConstraint.normalValue","cims:M:0..1","nc:VoltageAngleLimit.normalValue","cims:M:1..1"
"qudt:hasQuantityKind","cim:ActivePowerLimit.normalValue","cim:ActivePower","nc:VoltageAngleLimit.normalValue","cim:AngleDegrees"
"qudt:hasQuantityKind","cim:ApparentPowerLimit.normalValue","cim:ApparentPower","nc:VoltageAngleLimit.normalValue","cim:AngleDegrees"
"qudt:hasQuantityKind","cim:CurrentLimit.normalValue","cim:CurrentFlow","nc:VoltageAngleLimit.normalValue","cim:AngleDegrees"
"qudt:hasQuantityKind","cim:VoltageLimit.normalValue","cim:Voltage","nc:VoltageAngleLimit.normalValue","cim:AngleDegrees"
"cim:unitMultiplier","cim:ActivePowerLimit.normalValue","cim:UnitMultiplier.M","nc:VoltageAngleLimit.normalValue","cim:UnitMultiplier.none"
"cim:unitMultiplier","cim:ApparentPowerLimit.normalValue","cim:UnitMultiplier.M","nc:VoltageAngleLimit.normalValue","cim:UnitMultiplier.none"
"cim:unitMultiplier","cim:VoltageLimit.normalValue","cim:UnitMultiplier.k","nc:VoltageAngleLimit.normalValue","cim:UnitMultiplier.none"
"cim:unitSymbol","cim:ActivePowerLimit.normalValue","cim:UnitSymbol.W","nc:VoltageAngleLimit.normalValue","cim:UnitSymbol.deg"
"cim:unitSymbol","cim:ApparentPowerLimit.normalValue","cim:UnitSymbol.VA","nc:VoltageAngleLimit.normalValue","cim:UnitSymbol.deg"
"cim:unitSymbol","cim:CurrentLimit.normalValue","cim:UnitSymbol.A","nc:VoltageAngleLimit.normalValue","cim:UnitSymbol.deg"
"cim:unitSymbol","cim:VoltageLimit.normalValue","cim:UnitSymbol.V","nc:VoltageAngleLimit.normalValue","cim:UnitSymbol.deg"
"qudt:hasUnit","cim:ActivePowerLimit.normalValue","unit:MegaW","nc:VoltageAngleLimit.normalValue","unit:DEG"
"qudt:hasUnit","cim:ApparentPowerLimit.normalValue","unit:MegaV- A","nc:VoltageAngleLimit.normalValue","unit:DEG"
"qudt:hasUnit","cim:CurrentLimit.normalValue","unit:A","nc:VoltageAngleLimit.normalValue","unit:DEG"
"qudt:hasUnit","cim:VoltageLimit.normalValue","unit:KiloV","nc:VoltageAngleLimit.normalValue","unit:DEG"
"cims:stereotype","nc:ReactiveCapabilityCurve.referenceVoltage","""NC""","nc:VsCapabilityCurve.referenceVoltage","uml:attribute"
"cims:stereotype","nc:ReactiveCapabilityCurve.referenceVoltage","uml:attribute","nc:VsCapabilityCurve.referenceVoltage","""NC"""
"rdfs:range","cim:DiagramObjectPoint.xPosition","xsd:float","cim:PositionPoint.xPosition","xsd:string"
"rdfs:comment","cim:DiagramObjectPoint.xPosition","""The X coordinate of this point.""","cim:PositionPoint.xPosition","""X axis position."""
"rdfs:range","cim:DiagramObjectPoint.yPosition","xsd:float","cim:PositionPoint.yPosition","xsd:string"
"rdfs:comment","cim:DiagramObjectPoint.yPosition","""The Y coordinate of this point.""","cim:PositionPoint.yPosition","""Y axis position."""
"rdfs:range","cim:DiagramObjectPoint.zPosition","xsd:float","cim:PositionPoint.zPosition","xsd:string"
"rdfs:comment","cim:DiagramObjectPoint.zPosition","""The Z coordinate of this point.""","cim:PositionPoint.zPosition","""(if applicable) Z axis position."""
"rdfs:comment","cim:DiagramObjectPoint.sequenceNumber","""The sequence position of the point, used for defining the order of points for diagram objects acting as a polyline or polygon with more than one point. The attribute shall be a positive value.""","nc:Fault.sequenceNumber","""A chronological serial number indicating the order of the faults related to the grid disturbance. Primary faults have fault ID “1”, and secondary/ latent faults have fault ID “2” or more."""
"rdfs:comment","cim:ACDCTerminal.sequenceNumber","""The orientation of the terminal connections for a multiple terminal conducting equipment. The sequence numbering starts with 1 and additional terminals should follow in increasing order. The first terminal is the ""starting point"" for a two terminal branch.""","nc:Fault.sequenceNumber","""A chronological serial number indicating the order of the faults related to the grid disturbance. Primary faults have fault ID “1”, and secondary/ latent faults have fault ID “2” or more."""
"rdfs:comment","cim:RegularTimePoint.sequenceNumber","""The position of the regular time point in the sequence. Note that time points don't have to be sequential, i.e. time points may be omitted. The actual time for a RegularTimePoint is computed by multiplying the associated regular interval schedule's time step with the regular time point sequence number and adding the associated schedules start time. To specify values for the start time, use sequence number 0. The sequence number cannot be negative.""","nc:Fault.sequenceNumber","""A chronological serial number indicating the order of the faults related to the grid disturbance. Primary faults have fault ID “1”, and secondary/ latent faults have fault ID “2” or more."""
"rdfs:comment","cim:PositionPoint.sequenceNumber","""Zero- relative sequence number of this point within a series of points.""","nc:Fault.sequenceNumber","""A chronological serial number indicating the order of the faults related to the grid disturbance. Primary faults have fault ID “1”, and secondary/ latent faults have fault ID “2” or more."""
"cims:stereotype","cim:DiagramObjectPoint.sequenceNumber","uml:attribute","nc:Fault.sequenceNumber","""NC"""
"cims:stereotype","cim:ACDCTerminal.sequenceNumber","uml:attribute","nc:Fault.sequenceNumber","""NC"""
"cims:stereotype","cim:RegularTimePoint.sequenceNumber","uml:attribute","nc:Fault.sequenceNumber","""NC"""
"cims:stereotype","cim:PositionPoint.sequenceNumber","uml:attribute","nc:Fault.sequenceNumber","""NC"""
"cims:multiplicity","cim:DiagramObjectPoint.sequenceNumber","cims:M:0..1","nc:Fault.sequenceNumber","cims:M:1..1"
"cims:multiplicity","cim:PositionPoint.sequenceNumber","cims:M:0..1","nc:Fault.sequenceNumber","cims:M:1..1"
"cims:stereotype","nc:AssessedElementWithContingency.mRID","""NC""","nc:FaultCause.mRID","uml:attribute"
"cims:stereotype","nc:AssessedElementWithRemedialAction.mRID","""NC""","nc:FaultCause.mRID","uml:attribute"
"cims:stereotype","nc:CrossBorderRelevance.mRID","""NC""","nc:FaultCause.mRID","uml:attribute"
"cims:stereotype","nc:CurrentDroopOverride.mRID","""NC""","nc:FaultCause.mRID","uml:attribute"
"cims:stereotype","nc:ContingencyWithRemedialAction.mRID","""NC""","nc:FaultCause.mRID","uml:attribute"
"cims:stereotype","cim:IdentifiedObject.mRID","uml:attribute","nc:FaultCause.mRID","""NC"""
"cims:stereotype","nc:AssessedElementWithContingency.mRID","uml:attribute","nc:FaultCause.mRID","""NC"""
"cims:stereotype","nc:AssessedElementWithRemedialAction.mRID","uml:attribute","nc:FaultCause.mRID","""NC"""
"cims:stereotype","nc:CrossBorderRelevance.mRID","uml:attribute","nc:FaultCause.mRID","""NC"""
"cims:stereotype","nc:CurrentDroopOverride.mRID","uml:attribute","nc:FaultCause.mRID","""NC"""
"cims:stereotype","nc:AreaBorderTerminal.mRID","uml:attribute","nc:FaultCause.mRID","""NC"""
"cims:stereotype","nc:ContingencyWithRemedialAction.mRID","uml:attribute","nc:FaultCause.mRID","""NC"""
"cims:stereotype","nc:AssessedElementWithContingency.mRID","""NC""","nc:FaultOutage.mRID","uml:attribute"
"cims:stereotype","nc:AssessedElementWithRemedialAction.mRID","""NC""","nc:FaultOutage.mRID","uml:attribute"
"cims:stereotype","nc:CrossBorderRelevance.mRID","""NC""","nc:FaultOutage.mRID","uml:attribute"
"cims:stereotype","nc:CurrentDroopOverride.mRID","""NC""","nc:FaultOutage.mRID","uml:attribute"
"cims:stereotype","nc:FaultCause.mRID","""NC""","nc:FaultOutage.mRID","uml:attribute"
"cims:stereotype","nc:ContingencyWithRemedialAction.mRID","""NC""","nc:FaultOutage.mRID","uml:attribute"
"cims:stereotype","cim:IdentifiedObject.mRID","uml:attribute","nc:FaultOutage.mRID","""NC"""
"cims:stereotype","nc:AssessedElementWithContingency.mRID","uml:attribute","nc:FaultOutage.mRID","""NC"""
"cims:stereotype","nc:AssessedElementWithRemedialAction.mRID","uml:attribute","nc:FaultOutage.mRID","""NC"""
"cims:stereotype","nc:CrossBorderRelevance.mRID","uml:attribute","nc:FaultOutage.mRID","""NC"""
"cims:stereotype","nc:CurrentDroopOverride.mRID","uml:attribute","nc:FaultOutage.mRID","""NC"""
"cims:stereotype","nc:FaultCause.mRID","uml:attribute","nc:FaultOutage.mRID","""NC"""
"cims:stereotype","nc:AreaBorderTerminal.mRID","uml:attribute","nc:FaultOutage.mRID","""NC"""
"cims:stereotype","nc:ContingencyWithRemedialAction.mRID","uml:attribute","nc:FaultOutage.mRID","""NC"""
"rdfs:comment","nc:GateInputPin.duration","""The time duration for which the condition is satisfied before acting. Default is 0 seconds.""","nc:Interruption.duration","""The duration of the interruption."""
"rdfs:comment","nc:Fault.duration","""The duration of the fault.""","nc:Interruption.duration","""The duration of the interruption."""
"cims:stereotype","nc:GateInputPin.duration","""NC""","nc:Interruption.duration","uml:attribute"
"cims:stereotype","nc:Fault.duration","""NC""","nc:Interruption.duration","uml:attribute"
"cims:stereotype","nc:GateInputPin.duration","uml:attribute","nc:Interruption.duration","""NC"""
"cims:stereotype","nc:Fault.duration","uml:attribute","nc:Interruption.duration","""NC"""
"cims:multiplicity","nc:GateInputPin.duration","cims:M:0..1","nc:Interruption.duration","cims:M:1..1"
"rdfs:comment","nc:GateInputPin.duration","""The time duration for which the condition is satisfied before acting. Default is 0 seconds.""","nc:UnplannedOutage.duration","""The duration of the unplanned outage."""
"rdfs:comment","nc:Fault.duration","""The duration of the fault.""","nc:UnplannedOutage.duration","""The duration of the unplanned outage."""
"rdfs:comment","nc:Interruption.duration","""The duration of the interruption.""","nc:UnplannedOutage.duration","""The duration of the unplanned outage."""
"cims:stereotype","nc:GateInputPin.duration","""NC""","nc:UnplannedOutage.duration","uml:attribute"
"cims:stereotype","nc:Fault.duration","""NC""","nc:UnplannedOutage.duration","uml:attribute"
"cims:stereotype","nc:Interruption.duration","""NC""","nc:UnplannedOutage.duration","uml:attribute"
"cims:stereotype","nc:GateInputPin.duration","uml:attribute","nc:UnplannedOutage.duration","""NC"""
"cims:stereotype","nc:Fault.duration","uml:attribute","nc:UnplannedOutage.duration","""NC"""
"cims:stereotype","nc:Interruption.duration","uml:attribute","nc:UnplannedOutage.duration","""NC"""
"cims:multiplicity","nc:GateInputPin.duration","cims:M:0..1","nc:UnplannedOutage.duration","cims:M:1..1"
"rdfs:comment","nc:Interruption.startDateTime","""The date and time at which the interruption occurred.""","nc:UnplannedOutage.startDateTime","""The date and time at which the unplanned outage occurred."""
"cims:stereotype","nc:Interruption.startDateTime","""NC""","nc:UnplannedOutage.startDateTime","uml:attribute"
"cims:stereotype","nc:Interruption.startDateTime","uml:attribute","nc:UnplannedOutage.startDateTime","""NC"""
"cims:multiplicity","nc:Interruption.startDateTime","cims:M:1..1","nc:UnplannedOutage.startDateTime","cims:M:0..1"
"cims:stereotype","nc:AssessedElementWithContingency.mRID","""NC""","nc:OutcomeValue.mRID","uml:attribute"
"cims:stereotype","nc:AssessedElementWithRemedialAction.mRID","""NC""","nc:OutcomeValue.mRID","uml:attribute"
"cims:stereotype","nc:CrossBorderRelevance.mRID","""NC""","nc:OutcomeValue.mRID","uml:attribute"
"cims:stereotype","nc:CurrentDroopOverride.mRID","""NC""","nc:OutcomeValue.mRID","uml:attribute"
"cims:stereotype","nc:FrequencyMonitoringTerminal.mRID","""NC""","nc:OutcomeValue.mRID","uml:attribute"
"cims:stereotype","nc:InfeedTerminal.mRID","""NC""","nc:OutcomeValue.mRID","uml:attribute"
"cims:stereotype","nc:FaultCause.mRID","""NC""","nc:OutcomeValue.mRID","uml:attribute"
"cims:stereotype","nc:FaultOutage.mRID","""NC""","nc:OutcomeValue.mRID","uml:attribute"
"cims:stereotype","nc:Name.mRID","""NC""","nc:OutcomeValue.mRID","uml:attribute"
"cims:stereotype","nc:NameType.mRID","""NC""","nc:OutcomeValue.mRID","uml:attribute"
"cims:stereotype","nc:NamingAuthority.mRID","""NC""","nc:OutcomeValue.mRID","uml:attribute"
"cims:stereotype","nc:ContingencyWithRemedialAction.mRID","""NC""","nc:OutcomeValue.mRID","uml:attribute"
"cims:stereotype","nc:HourPeriod.mRID","""NC""","nc:OutcomeValue.mRID","uml:attribute"
"cims:stereotype","cim:IdentifiedObject.mRID","uml:attribute","nc:OutcomeValue.mRID","""NC"""
"cims:stereotype","nc:AssessedElementWithContingency.mRID","uml:attribute","nc:OutcomeValue.mRID","""NC"""
"cims:stereotype","nc:AssessedElementWithRemedialAction.mRID","uml:attribute","nc:OutcomeValue.mRID","""NC"""
"cims:stereotype","nc:CrossBorderRelevance.mRID","uml:attribute","nc:OutcomeValue.mRID","""NC"""
"cims:stereotype","nc:CurrentDroopOverride.mRID","uml:attribute","nc:OutcomeValue.mRID","""NC"""
"cims:stereotype","nc:FrequencyMonitoringTerminal.mRID","uml:attribute","nc:OutcomeValue.mRID","""NC"""
"cims:stereotype","nc:InfeedTerminal.mRID","uml:attribute","nc:OutcomeValue.mRID","""NC"""
"cims:stereotype","nc:FaultCause.mRID","uml:attribute","nc:OutcomeValue.mRID","""NC"""
"cims:stereotype","nc:FaultOutage.mRID","uml:attribute","nc:OutcomeValue.mRID","""NC"""
"cims:stereotype","nc:AreaBorderTerminal.mRID","uml:attribute","nc:OutcomeValue.mRID","""NC"""
"cims:stereotype","nc:Name.mRID","uml:attribute","nc:OutcomeValue.mRID","""NC"""
"cims:stereotype","nc:NameType.mRID","uml:attribute","nc:OutcomeValue.mRID","""NC"""
"cims:stereotype","nc:NamingAuthority.mRID","uml:attribute","nc:OutcomeValue.mRID","""NC"""
"cims:stereotype","nc:ContingencyWithRemedialAction.mRID","uml:attribute","nc:OutcomeValue.mRID","""NC"""
"cims:stereotype","nc:HourPeriod.mRID","uml:attribute","nc:OutcomeValue.mRID","""NC"""
"cims:multiplicity","nc:Name.mRID","cims:M:0..1","nc:OutcomeValue.mRID","cims:M:1..1"
"cims:stereotype","nc:AssessedElementWithContingency.mRID","""NC""","nc:OwnerRemedialActionAssessment.mRID","uml:attribute"
"cims:stereotype","nc:AssessedElementWithRemedialAction.mRID","""NC""","nc:OwnerRemedialActionAssessment.mRID","uml:attribute"
"cims:stereotype","nc:CrossBorderRelevance.mRID","""NC""","nc:OwnerRemedialActionAssessment.mRID","uml:attribute"
"cims:stereotype","nc:CurrentDroopOverride.mRID","""NC""","nc:OwnerRemedialActionAssessment.mRID","uml:attribute"
"cims:stereotype","nc:FrequencyMonitoringTerminal.mRID","""NC""","nc:OwnerRemedialActionAssessment.mRID","uml:attribute"
"cims:stereotype","nc:InfeedTerminal.mRID","""NC""","nc:OwnerRemedialActionAssessment.mRID","uml:attribute"
"cims:stereotype","nc:FaultCause.mRID","""NC""","nc:OwnerRemedialActionAssessment.mRID","uml:attribute"
"cims:stereotype","nc:FaultOutage.mRID","""NC""","nc:OwnerRemedialActionAssessment.mRID","uml:attribute"
"cims:stereotype","nc:OutcomeValue.mRID","""NC""","nc:OwnerRemedialActionAssessment.mRID","uml:attribute"
"cims:stereotype","nc:Name.mRID","""NC""","nc:OwnerRemedialActionAssessment.mRID","uml:attribute"
"cims:stereotype","nc:NameType.mRID","""NC""","nc:OwnerRemedialActionAssessment.mRID","uml:attribute"
"cims:stereotype","nc:NamingAuthority.mRID","""NC""","nc:OwnerRemedialActionAssessment.mRID","uml:attribute"
"cims:stereotype","nc:ContingencyWithRemedialAction.mRID","""NC""","nc:OwnerRemedialActionAssessment.mRID","uml:attribute"
"cims:stereotype","nc:HourPeriod.mRID","""NC""","nc:OwnerRemedialActionAssessment.mRID","uml:attribute"
"cims:stereotype","cim:IdentifiedObject.mRID","uml:attribute","nc:OwnerRemedialActionAssessment.mRID","""NC"""
"cims:stereotype","nc:AssessedElementWithContingency.mRID","uml:attribute","nc:OwnerRemedialActionAssessment.mRID","""NC"""
"cims:stereotype","nc:AssessedElementWithRemedialAction.mRID","uml:attribute","nc:OwnerRemedialActionAssessment.mRID","""NC"""
"cims:stereotype","nc:CrossBorderRelevance.mRID","uml:attribute","nc:OwnerRemedialActionAssessment.mRID","""NC"""
"cims:stereotype","nc:CurrentDroopOverride.mRID","uml:attribute","nc:OwnerRemedialActionAssessment.mRID","""NC"""
"cims:stereotype","nc:FrequencyMonitoringTerminal.mRID","uml:attribute","nc:OwnerRemedialActionAssessment.mRID","""NC"""
"cims:stereotype","nc:InfeedTerminal.mRID","uml:attribute","nc:OwnerRemedialActionAssessment.mRID","""NC"""
"cims:stereotype","nc:FaultCause.mRID","uml:attribute","nc:OwnerRemedialActionAssessment.mRID","""NC"""
"cims:stereotype","nc:FaultOutage.mRID","uml:attribute","nc:OwnerRemedialActionAssessment.mRID","""NC"""
"cims:stereotype","nc:OutcomeValue.mRID","uml:attribute","nc:OwnerRemedialActionAssessment.mRID","""NC"""
"cims:stereotype","nc:AreaBorderTerminal.mRID","uml:attribute","nc:OwnerRemedialActionAssessment.mRID","""NC"""
"cims:stereotype","nc:Name.mRID","uml:attribute","nc:OwnerRemedialActionAssessment.mRID","""NC"""
"cims:stereotype","nc:NameType.mRID","uml:attribute","nc:OwnerRemedialActionAssessment.mRID","""NC"""
"cims:stereotype","nc:NamingAuthority.mRID","uml:attribute","nc:OwnerRemedialActionAssessment.mRID","""NC"""
"cims:stereotype","nc:ContingencyWithRemedialAction.mRID","uml:attribute","nc:OwnerRemedialActionAssessment.mRID","""NC"""
"cims:stereotype","nc:HourPeriod.mRID","uml:attribute","nc:OwnerRemedialActionAssessment.mRID","""NC"""
"cims:multiplicity","nc:Name.mRID","cims:M:0..1","nc:OwnerRemedialActionAssessment.mRID","cims:M:1..1"
"cims:stereotype","nc:AssessedElementWithContingency.mRID","""NC""","nc:RemedialActionImpact.mRID","uml:attribute"
"cims:stereotype","nc:AssessedElementWithRemedialAction.mRID","""NC""","nc:RemedialActionImpact.mRID","uml:attribute"
"cims:stereotype","nc:CrossBorderRelevance.mRID","""NC""","nc:RemedialActionImpact.mRID","uml:attribute"
"cims:stereotype","nc:CurrentDroopOverride.mRID","""NC""","nc:RemedialActionImpact.mRID","uml:attribute"
"cims:stereotype","nc:FrequencyMonitoringTerminal.mRID","""NC""","nc:RemedialActionImpact.mRID","uml:attribute"
"cims:stereotype","nc:InfeedTerminal.mRID","""NC""","nc:RemedialActionImpact.mRID","uml:attribute"
"cims:stereotype","nc:FaultCause.mRID","""NC""","nc:RemedialActionImpact.mRID","uml:attribute"
"cims:stereotype","nc:FaultOutage.mRID","""NC""","nc:RemedialActionImpact.mRID","uml:attribute"
"cims:stereotype","nc:OutcomeValue.mRID","""NC""","nc:RemedialActionImpact.mRID","uml:attribute"
"cims:stereotype","nc:OwnerRemedialActionAssessment.mRID","""NC""","nc:RemedialActionImpact.mRID","uml:attribute"
"cims:stereotype","nc:Name.mRID","""NC""","nc:RemedialActionImpact.mRID","uml:attribute"
"cims:stereotype","nc:NameType.mRID","""NC""","nc:RemedialActionImpact.mRID","uml:attribute"
"cims:stereotype","nc:NamingAuthority.mRID","""NC""","nc:RemedialActionImpact.mRID","uml:attribute"
"cims:stereotype","nc:ContingencyWithRemedialAction.mRID","""NC""","nc:RemedialActionImpact.mRID","uml:attribute"
"cims:stereotype","nc:RemedialActionDependency.mRID","""NC""","nc:RemedialActionImpact.mRID","uml:attribute"
"cims:stereotype","nc:ProposingRemedialActionScheduleShare.mRID","""NC""","nc:RemedialActionImpact.mRID","uml:attribute"
"cims:stereotype","nc:RemedialActionCost.mRID","""NC""","nc:RemedialActionImpact.mRID","uml:attribute"
"cims:stereotype","nc:RemedialActionApplied.mRID","""NC""","nc:RemedialActionImpact.mRID","uml:attribute"
"cims:stereotype","nc:HourPeriod.mRID","""NC""","nc:RemedialActionImpact.mRID","uml:attribute"
"cims:stereotype","nc:PowerBidDependency.mRID","""NC""","nc:RemedialActionImpact.mRID","uml:attribute"
"cims:stereotype","cim:IdentifiedObject.mRID","uml:attribute","nc:RemedialActionImpact.mRID","""NC"""
"cims:stereotype","nc:AssessedElementWithContingency.mRID","uml:attribute","nc:RemedialActionImpact.mRID","""NC"""
"cims:stereotype","nc:AssessedElementWithRemedialAction.mRID","uml:attribute","nc:RemedialActionImpact.mRID","""NC"""
"cims:stereotype","nc:CrossBorderRelevance.mRID","uml:attribute","nc:RemedialActionImpact.mRID","""NC"""
"cims:stereotype","nc:CurrentDroopOverride.mRID","uml:attribute","nc:RemedialActionImpact.mRID","""NC"""
"cims:stereotype","nc:FrequencyMonitoringTerminal.mRID","uml:attribute","nc:RemedialActionImpact.mRID","""NC"""
"cims:stereotype","nc:InfeedTerminal.mRID","uml:attribute","nc:RemedialActionImpact.mRID","""NC"""
"cims:stereotype","nc:FaultCause.mRID","uml:attribute","nc:RemedialActionImpact.mRID","""NC"""
"cims:stereotype","nc:FaultOutage.mRID","uml:attribute","nc:RemedialActionImpact.mRID","""NC"""
"cims:stereotype","nc:OutcomeValue.mRID","uml:attribute","nc:RemedialActionImpact.mRID","""NC"""
"cims:stereotype","nc:OwnerRemedialActionAssessment.mRID","uml:attribute","nc:RemedialActionImpact.mRID","""NC"""
"cims:stereotype","nc:AreaBorderTerminal.mRID","uml:attribute","nc:RemedialActionImpact.mRID","""NC"""
"cims:stereotype","nc:Name.mRID","uml:attribute","nc:RemedialActionImpact.mRID","""NC"""
"cims:stereotype","nc:NameType.mRID","uml:attribute","nc:RemedialActionImpact.mRID","""NC"""
"cims:stereotype","nc:NamingAuthority.mRID","uml:attribute","nc:RemedialActionImpact.mRID","""NC"""
"cims:stereotype","nc:ContingencyWithRemedialAction.mRID","uml:attribute","nc:RemedialActionImpact.mRID","""NC"""
"cims:stereotype","nc:RemedialActionDependency.mRID","uml:attribute","nc:RemedialActionImpact.mRID","""NC"""
"cims:stereotype","nc:ProposingRemedialActionScheduleShare.mRID","uml:attribute","nc:RemedialActionImpact.mRID","""NC"""
"cims:stereotype","nc:RemedialActionCost.mRID","uml:attribute","nc:RemedialActionImpact.mRID","""NC"""
"cims:stereotype","nc:RemedialActionApplied.mRID","uml:attribute","nc:RemedialActionImpact.mRID","""NC"""
"cims:stereotype","nc:HourPeriod.mRID","uml:attribute","nc:RemedialActionImpact.mRID","""NC"""
"cims:stereotype","nc:PowerBidDependency.mRID","uml:attribute","nc:RemedialActionImpact.mRID","""NC"""
"cims:multiplicity","nc:Name.mRID","cims:M:0..1","nc:RemedialActionImpact.mRID","cims:M:1..1"
"cims:multiplicity","nc:ProposingRemedialActionScheduleShare.mRID","cims:M:0..1","nc:RemedialActionImpact.mRID","cims:M:1..1"
"cims:stereotype","nc:RemedialActionImpact.impactQuantity","""NC""","nc:RemedialActionOutcomeValue.impactQuantity","uml:attribute"
"cims:stereotype","nc:RemedialActionImpact.impactQuantity","uml:attribute","nc:RemedialActionOutcomeValue.impactQuantity","""NC"""
"rdfs:comment","cim:IdentifiedObject.name","""The name is any free human readable and possibly non unique text naming the object.""","cim:Name.name","""Any free text that used as a name or alternative identifier of the object."""
"cims:multiplicity","cim:IdentifiedObject.name","cims:M:0..1","cim:Name.name","cims:M:1..1"
"rdfs:comment","md:Model.description","""A description of the model, e.g. the name of person that created the model and for what purpose. The number of UTF 8 characters is limited to 2000.""","cim:NameType.description","""Description of the name type."""
"rdfs:comment","md:Model.description","""A description of the model, e.g. the name of person that created the model and for what purpose. The number of UTF- 8 characters is limited to 2000.""","cim:NameType.description","""Description of the name type."""
"rdfs:comment","cim:IdentifiedObject.description","""The description is a free human readable text describing or naming the object. It may be non unique and may not correlate to a naming hierarchy.""","cim:NameType.description","""Description of the name type."""
"rdfs:comment","dct:PowerSystemProjectGroup.description","""A free- text account of the resource. Description may include but is not limited to:an abstract, a table of contents, a graphical representation, or a free- text account of the resource.""","cim:NameType.description","""Description of the name type."""
"rdfs:comment","dct:Resource.description","""A free- text account of the resource. Description may include but is not limited to:an abstract, a table of contents, a graphical representation, or a free- text account of the resource.""","cim:NameType.description","""Description of the name type."""
"cims:stereotype","md:Model.description","""md""","cim:NameType.description","uml:attribute"
"cims:stereotype","dct:PowerSystemProjectGroup.description","""dcterms""","cim:NameType.description","uml:attribute"
"cims:stereotype","dct:Resource.description","""dcterms""","cim:NameType.description","uml:attribute"
"cims:multiplicity","md:Model.description","cims:M:1..1","cim:NameType.description","cims:M:0..1"
"rdfs:comment","cim:IdentifiedObject.name","""The name is any free human readable and possibly non unique text naming the object.""","cim:NameType.name","""Name of the name type."""
"rdfs:comment","cim:Name.name","""Any free text that used as a name or alternative identifier of the object.""","cim:NameType.name","""Name of the name type."""
"cims:multiplicity","cim:IdentifiedObject.name","cims:M:0..1","cim:NameType.name","cims:M:1..1"
"rdfs:comment","cim:StreetAddress.language","""The language in which the address is specified, using ISO 639- 1 two digit language code.""","nc:Name.language","""Shall be specified as an IETF BCP 47 language tag (e.g. en- US). Applies to the Name.name attribute. IETF language tags combine subtags from other standards such as ISO 639, ISO 15924, ISO 3166- 1, and UN M.49. The tag structure has been standardized by the IETF in Best Current Practice (BCP) 47; the subtags are maintained by the IANA Language Subtag Registry."""
"cims:stereotype","cim:StreetAddress.language","uml:attribute","nc:Name.language","""NC"""
"cims:stereotype","nc:AssessedElementWithContingency.mRID","""NC""","nc:Name.mRID","uml:attribute"
"cims:stereotype","nc:AssessedElementWithRemedialAction.mRID","""NC""","nc:Name.mRID","uml:attribute"
"cims:stereotype","nc:CrossBorderRelevance.mRID","""NC""","nc:Name.mRID","uml:attribute"
"cims:stereotype","nc:CurrentDroopOverride.mRID","""NC""","nc:Name.mRID","uml:attribute"
"cims:stereotype","nc:FrequencyMonitoringTerminal.mRID","""NC""","nc:Name.mRID","uml:attribute"
"cims:stereotype","nc:InfeedTerminal.mRID","""NC""","nc:Name.mRID","uml:attribute"
"cims:stereotype","nc:FaultCause.mRID","""NC""","nc:Name.mRID","uml:attribute"
"cims:stereotype","nc:FaultOutage.mRID","""NC""","nc:Name.mRID","uml:attribute"
"cims:stereotype","nc:ContingencyWithRemedialAction.mRID","""NC""","nc:Name.mRID","uml:attribute"
"cims:stereotype","nc:HourPeriod.mRID","""NC""","nc:Name.mRID","uml:attribute"
"cims:stereotype","cim:IdentifiedObject.mRID","uml:attribute","nc:Name.mRID","""NC"""
"cims:stereotype","nc:AssessedElementWithContingency.mRID","uml:attribute","nc:Name.mRID","""NC"""
"cims:stereotype","nc:AssessedElementWithRemedialAction.mRID","uml:attribute","nc:Name.mRID","""NC"""
"cims:stereotype","nc:CrossBorderRelevance.mRID","uml:attribute","nc:Name.mRID","""NC"""
